section,section_label,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.94,0.005,homogeneous,0.4166666666666667,0.658,0.49025,0.7479,13.0,9.55,18.599999999999994,51.0,30.5,66.0,,,,38.0,21.0,52.0,0.020499999999999977,0.015099999999999999,0.029249999999999998,12,0.19325746190524654,0.6804926643446272
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.94,0.01,homogeneous,0.8333333333333334,0.6445000000000001,0.5715,0.8231999999999999,8.0,7.0,9.45,33.5,27.55,51.05,,,,25.5,20.55,42.39999999999999,0.02600000000000001,0.01974999999999999,0.034899999999999966,12,0.5519636426153274,0.9530358523851776
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.95,0.001,homogeneous,0.08333333333333333,0.451,0.31420000000000003,0.5915499999999999,32.0,17.75,48.45,67.0,56.45,80.1,,,,48.0,36.75,60.1,0.014499999999999999,0.010000000000000002,0.021799999999999986,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.95,0.002,homogeneous,0.16666666666666666,0.5725,0.47750000000000004,0.6852,18.0,11.65,24.249999999999996,64.0,47.5,90.5,,,,46.0,36.0,69.0,0.0175,0.013100000000000011,0.021449999999999997,12,0.04696414761482223,0.44803635738467273
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.95,0.003,homogeneous,0.16666666666666666,0.5985,0.46485,0.6491,17.0,13.100000000000001,27.349999999999998,55.0,47.2,76.8,,,,41.0,32.599999999999994,56.599999999999994,0.018500000000000016,0.014099999999999998,0.023900000000000005,12,0.04696414761482223,0.44803635738467273
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.95,0.005,homogeneous,0.6666666666666666,0.674,0.5575000000000001,0.8680999999999999,11.5,8.0,16.45,46.0,29.549999999999997,69.64999999999998,85.0,85.0,85.0,34.0,21.55,56.54999999999998,0.022500000000000006,0.017100000000000014,0.030350000000000023,12,0.3906175873976139,0.8618821601026385
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.95,0.01,homogeneous,1.0,0.7055,0.5812999999999999,0.8849,8.0,6.550000000000001,11.45,34.5,26.85,40.9,69.0,69.0,69.0,25.5,19.75,30.9,0.02799999999999997,0.02354999999999999,0.03850000000000001,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.96,0.001,homogeneous,0.08333333333333333,0.4175,0.18075000000000002,0.6462000000000001,24.0,14.0,32.5,54.0,50.4,93.59999999999998,,,,41.0,35.6,76.09999999999998,0.012999999999999998,0.005950000000000006,0.019799999999999984,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.96,0.002,homogeneous,0.25,0.527,0.43005000000000004,0.6518999999999999,18.5,12.65,26.9,70.0,43.8,99.6,,,,54.0,31.4,78.19999999999999,0.016,0.012649999999999996,0.02299999999999999,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.96,0.003,homogeneous,0.5833333333333334,0.5914999999999999,0.4726,0.6897,15.0,9.55,23.799999999999997,50.0,40.25,85.95000000000002,,,,36.5,30.700000000000003,64.55,0.022499999999999992,0.014550000000000013,0.02835000000000002,12,0.3195073356553728,0.8067425380947535
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.96,0.005,homogeneous,0.5,0.5405,0.48055000000000003,0.6746999999999999,13.0,9.55,18.349999999999998,55.0,37.5,79.5,,,,40.0,27.0,62.0,0.02249999999999998,0.013550000000000012,0.029350000000000008,12,0.2537781703934222,0.7462218296065778
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.96,0.01,homogeneous,1.0,0.6799999999999999,0.6086,0.7786499999999998,8.0,6.1000000000000005,11.349999999999998,34.0,27.85,41.599999999999994,,,,26.0,21.2,31.349999999999998,0.025999999999999968,0.02254999999999998,0.03344999999999999,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.97,0.001,homogeneous,0.0,0.361,0.2462,0.54005,37.5,22.549999999999997,60.05,93.0,82.2,95.7,,,,69.0,59.1,70.8,0.012499999999999997,0.009000000000000008,0.02100000000000002,12,0.0,0.2425007574992425
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.97,0.002,homogeneous,0.16666666666666666,0.4595,0.2817,0.6603999999999999,24.5,11.3,56.74999999999996,55.0,32.5,55.9,,,,41.0,23.9,41.9,0.016000000000000007,0.00965000000000001,0.026399999999999958,12,0.04696414761482223,0.44803635738467273
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.97,0.003,homogeneous,0.5,0.586,0.5085,0.7680999999999998,13.5,9.0,20.349999999999998,57.0,32.5,80.5,97.0,97.0,97.0,44.0,23.5,63.5,0.02049999999999999,0.016,0.0288,12,0.2537781703934222,0.7462218296065778
