slope_min,comparison,n_runs,final_cutoff,cascade_prob_ci_low,source_experiment,transition_window,cascade_prob,cascade_prob_ci_high
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=median,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=p75,50,0.5,0.9286499658256813,robustness,30,1.0,1.0
0.015,F robustness_axis=abandonment digital_growth_sd=1.0 abandonment_sweep=absorbing,250,0.5,0.12325083757520047,robustness,30,0.164,0.21491910777654646
0.015,F robustness_axis=abandonment digital_growth_sd=1.0 abandonment_sweep=nonabsorbing,250,0.5,0.11626512943648533,robustness,30,0.156,0.20614695747125555
0.02,A hazard,50,0.5,0.0,expA,30,0.0,0.07135003417431873
0.02,A frequency-based,50,0.5,0.0,expA,30,0.0,0.07135003417431873
0.02,A success-based,1000,0.5,0.9425806957803401,expA,30,0.957,0.9679215189116991
0.02,B small_world beta=0.001 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.005 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.01 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.05 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.1 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.2 m=missing,50,0.5,0.0,expB,30,0.0,0.07135003417431873
0.02,B small_world beta=0.4 m=missing,1000,0.5,0.12173369457141411,expB,30,0.142,0.16500636481644151
0.02,B small_world beta=0.7 m=missing,250,0.5,0.3106363981848008,expB,30,0.368,0.4293589374890997
0.02,B small_world beta=1.0 m=missing,50,0.5,0.2586259584257722,expB,30,0.38,0.5184980497760643
0.02,B power_law beta=missing m=2,250,0.5,0.2840956187275826,expB,30,0.34,0.40074721239229694
0.02,B degree_matched_random beta=missing m=2,50,0.5,0.5418944286372394,expB,30,0.68,0.792419559060006
0.02,B power_law beta=missing m=3,50,0.5,0.8950431352816304,expB,30,0.98,0.9964608319110235
0.02,B degree_matched_random beta=missing m=3,50,0.5,0.6258705062480763,expB,30,0.76,0.8570274759812779
0.02,B power_law beta=missing m=5,1000,0.5,0.9961731014136095,expB,30,1.0,1.0
0.02,B degree_matched_random beta=missing m=5,50,0.5,0.6920368054529739,expB,30,0.82,0.902299172675462
0.02,B power_law beta=missing m=8,50,0.5,0.9286499658256813,expB,30,1.0,1.0
0.02,B degree_matched_random beta=missing m=8,50,0.5,0.5833461285401034,expB,30,0.72,0.8252598564231963
0.02,B power_law beta=missing m=12,50,0.5,0.9286499658256813,expB,30,1.0,1.0
0.02,B degree_matched_random beta=missing m=12,250,0.5,0.6529921633129403,expB,30,0.712,0.7645910854532194
0.02,C homogeneous beta=0.4 vary=false,1000,0.5,0.021093603189697094,expC,30,0.03,0.04250368148151
0.02,C lower_mean beta=0.4 vary=false,1000,0.5,0.052212125206787474,expC,30,0.066,0.08310962276619951
0.02,C higher_variance beta=0.4 vary=false,1000,0.5,0.8637364095483508,expC,30,0.885,0.9033168785401287
0.02,C mixture pi=0.01 beta=0.4 vary=false,250,0.5,0.07196474410827003,expC,30,0.104,0.14802126291343168
0.02,C mixture pi=0.03 beta=0.4 vary=false,250,0.5,0.20954936702346566,expC,30,0.26,0.31771487965635353
0.02,C mixture pi=0.05 beta=0.4 vary=false,1000,0.5,0.5421198333410192,expC,30,0.573,0.6033214394653678
0.02,C mixture pi=0.1 beta=0.4 vary=false,50,0.5,0.7148551903823401,expC,30,0.84,0.9166267863791231
0.02,C mixture pi=0.01 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.03 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.05 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.1 beta=0.05 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.01 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.03 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.05 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.1 beta=0.1 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.01 beta=0.2 vary=true,50,0.5,0.0,expC,30,0.0,0.07135003417431873
0.02,C mixture pi=0.03 beta=0.2 vary=true,250,0.5,0.0021965911168378323,expC,30,0.008,0.028695114576791584
0.02,C mixture pi=0.05 beta=0.2 vary=true,250,0.5,0.02766792620603601,expC,30,0.048,0.08201307170762354
